AGI	WT-1_count	WT-2_count	#5-1_count	#5-2_count	WT-1_FPKM	WT-2_FPKM	#5-1_FPKM	#5-2_FPKM	WT_mean-FPKM	#5_mean-FPKM	log2 (FC)	P Value	FDR	Name	Annotation
AT1G01010	47	65	102	91	1.336	1.755	2.588	2.364	1.5455	2.476	0.67993766	0.237242573	0.690357733	NAC001	NAC domain containing protein 1
AT1G01020	136	186	228	216	5.139	6.741	7.545	7.337	5.94	7.441	0.325033588	0.621921013	0.958433792	ARV1	ARV1 family protein
AT1G01030	95	52	63	67	2.392	1.244	1.416	1.542	1.818	1.479	-0.297730147	0.254740827	0.714205587	NGA3	AP2/B3-like transcriptional factor family protein
AT1G01040	761	957	1171	1136	5.923	7.076	8.197	8.08	6.4995	8.1385	0.32443418	0.58395017	0.939694452	DCL1	dicer-like 1
AT1G01050	984	995	1144	1114	47.491	45.624	49.291	49.137	46.5575	49.214	0.080055188	0.341575384	0.806478118	PPa1	pyrophosphorylase 1
AT1G01060	204	122	46	45	4.209	2.433	0.887	0.868	3.321	0.8775	-1.920146692	0.000000112	0.00000827	LHY	Homeodomain-like superfamily protein
AT1G01070	58	51	46	49	1.649	1.374	1.164	1.289	1.5115	1.2265	-0.301433745	0.221298367	0.667318201	UMAMIT28	nodulin MtN21 /EamA-like transporter family protein
AT1G01080	1170	1441	1873	1856	35.328	40.173	50.682	51.467	37.7505	51.0745	0.436107423	0.241491204	0.696415843	AT1G01080	RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G01090	3429	3548	4037	4121	86.763	85.29	91.189	95.296	86.0265	93.2425	0.116206544	0.397522488	0.852666737	PDH-E1	pyruvate dehydrogenase E1 alpha
AT1G01100	2789	2858	3999	3716	177.26	171.579	226.608	212.838	174.4195	219.723	0.333124553	0.432014704	0.876775569	AT1G01100	60S acidic ribosomal protein family
AT1G01110	28	79	43	46	0.644	1.721	0.901	0.954	1.1825	0.9275	-0.350420997	0.316751358	0.784168915	IQD18	IQ-domain 18
AT1G01120	3767	3298	3779	3589	88.069	73.253	78.872	76.685	80.661	77.7785	-0.05249988	0.094153499	0.41941433	KCS1	3-ketoacyl-CoA synthase 1
AT1G01130	15	17	25	24	1.919	2.066	2.855	2.806	1.9925	2.8305	0.506477199	0.681720246	0.958433792	AT1G01130	CBL-interacting Serine/Threonine-kinase
AT1G01140	3884	3016	2554	1784	106.749	78.919	62.42	44.969	92.834	53.6945	-0.789878964	0.0000264	0.00084037	CIPK9	CBL-interacting protein kinase 9
AT1G01150	1	4	4	0	0.042	0.148	0.14	0	0.095	0.07	-0.440572591	0.783237649	0.966194613	AT1G01150	Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein
AT1G01160	474	443	646	597	21.729	19.252	26.451	25.023	20.4905	25.737	0.328888709	0.62035104	0.958433792	GIF2	GRF1-interacting factor 2
AT1G01170	994	1161	1199	1230	92.626	102.857	99.797	104.831	97.7415	102.314	0.065960418	0.290368237	0.7553091	AT1G01170	ozone-responsive stress-like protein (DUF1138)
AT1G01180	323	320	383	392	10.643	10.017	11.266	11.804	10.33	11.535	0.15917775	0.73025582	0.959508788	AT1G01180	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT1G01190	8	16	16	16	0.228	0.435	0.407	0.42	0.3315	0.4135	0.318878459	0.912494241	0.985854205	CYP78A8	cytochrome P450, family 78, subfamily A, polypeptide 8
AT1G01200	11	18	21	11	0.437	0.68	0.745	0.4	0.5585	0.5725	0.035718413	0.821198769	0.966194613	RABA3	RAB GTPase homolog A3
AT1G01210	181	222	306	269	12.819	14.998	20.017	18.322	13.9085	19.1695	0.462845871	0.45782359	0.893793096	AT1G01210	DNA-directed RNA polymerase, subunit M, archaeal
AT1G01220	507	665	730	809	6.908	8.694	8.807	9.979	7.801	9.393	0.267926936	0.751980244	0.963818516	FKGP	L-fucokinase/GDP-L-fucose pyrophosphorylase
AT1G01225	61	51	76	40	2.717	2.158	3.022	1.628	2.4375	2.325	-0.068171503	0.551646084	0.935995385	AT1G01225	NC domain-containing protein-like protein
AT1G01230	417	488	529	471	22.837	25.39	25.863	23.574	24.1135	24.7185	0.03575013	0.318831566	0.785897787	AT1G01230	ORMDL family protein
AT1G01240	514	433	160	175	15.789	12.808	4.486	4.879	14.2985	4.6825	-1.610512908	3.98E-14	1.59E-11	AT1G01240	uncharacterized protein
AT1G01250	129	49	27	15	6.946	2.507	1.298	0.738	4.7265	1.018	-2.215034694	0.000105224	0.002545012	AT1G01250	Integrase-type DNA-binding superfamily protein
AT1G01260	298	296	415	266	5.662	5.267	6.744	4.591	5.4645	5.6675	0.05262299	0.606481304	0.951994628	AT1G01260	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G01280	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	CYP703A2	cytochrome P450, family 703, subfamily A, polypeptide 2
AT1G01290	197	233	276	300	6.492	7.366	8.154	9.111	6.929	8.6325	0.317131273	0.709004598	0.958433792	CNX3	cofactor of nitrate reductase and xanthine dehydrogenase 3
AT1G01300	1134	1270	1695	1957	26.383	28.072	35.205	41.612	27.2275	38.4085	0.4963611	0.099859158	0.435709775	AT1G01300	Eukaryotic aspartyl protease family protein
AT1G01305	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT1G01305	uncharacterized protein
AT1G01310	5	0	4	2	0.246	0	0.175	0.09	0.123	0.1325	0.107334044	0.949942231	0.989431139	AT1G01310	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein
AT1G01320	7564	8471	10027	10013	59.97	63.806	70.969	72.552	61.888	71.7605	0.213530243	0.903357007	0.985295315	AT1G01320	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G01335	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT1G01335	auxin-responsive endogenous peptide protein
