"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT5G51070",21176.3963600079,3.56484063321729,0.137545104212972,25.9176119253039,4.21686731955307e-148,8.47801174596144e-144
"AT3G55240",1025.91271895505,-2.68453653375801,0.182513392444731,-14.7087098530095,5.66776930310503e-49,5.69752509194633e-45
"AT2G04050",229.465369361591,5.25474425772259,0.404460379050575,12.9919876702324,1.35852338173926e-38,9.10437086328931e-35
"AT2G18193",377.427151047847,4.14169003161089,0.331814238968282,12.4819538923005,9.36597041700278e-36,4.70757088084602e-32
"AT1G36180",658.690151996953,2.46055582778176,0.203386723994262,12.0979175998291,1.08324235018121e-33,4.35571749007863e-30
"AT2G21640",253.691052415472,3.45266330393568,0.291413587191626,11.8479832639557,2.20432002454663e-32,7.38630901558498e-29
"AT5G42530",692.736736974255,-2.22944633450935,0.192181267085096,-11.6007474002249,4.08494979730914e-31,1.17325593821286e-27
"AT5G59080",1042.78070839964,-1.82916639914301,0.158271887371043,-11.55711497175,6.79536230585222e-31,1.70775948948949e-27
"AT1G69490",561.199798575903,-3.72357063847291,0.338777222709391,-10.991207167629,4.21253727754131e-28,9.41034021832979e-25
"AT1G66100",2720.28653208782,-2.18992583579772,0.209112254168063,-10.4724892594658,1.15563459566322e-25,2.3234033545809e-22
"AT2G05440",157.736797610082,4.19222715120636,0.407795890898208,10.2802094007681,8.65393762732841e-25,1.58170378179489e-21
"AT5G57110",1099.68223603171,2.06990480669997,0.207998585140271,9.95153310924714,2.48327675076867e-23,4.16052325618368e-20
"AT3G20440",862.36254453057,2.26010621068502,0.23425129667714,9.64821216678278,5.00201493065978e-22,7.73580847545499e-19
"AT3G49570",301.999769418625,-2.48869018122649,0.260588969177015,-9.55025145187918,1.29381874715247e-21,1.85801613653575e-18
"AT5G42900",133.950934036516,5.29292635712486,0.57145205467108,9.26224048694933,2.00186700462101e-20,2.68316907519369e-17
"AT3G49580",207.357568451666,-2.8915139212719,0.31254287770255,-9.25157515195015,2.21208381763785e-20,2.77962157210056e-17
"AT1G07050",189.152629492961,3.75425125277639,0.416189577474696,9.02053164222895,1.8717869183321e-19,2.21366329370982e-16
"AT5G23240",502.441511937258,2.71872149725701,0.301990950289219,9.00265883680711,2.20316125623099e-19,2.46080872536245e-16
"AT2G05100",71267.8769645593,-1.24853941065353,0.140843800019961,-8.86470977406592,7.67036066772963e-19,8.11645269603707e-16
"AT3G27690",29264.4798766681,-1.78181448492338,0.204552145885939,-8.71080807882082,3.01716126239741e-18,3.033001359025e-15
"AT5G66052",464.221939522992,1.70453008840173,0.196089533766873,8.6926112559797,3.54202696772837e-18,3.3910691517228e-15
"AT1G51400",15473.4247791279,-1.20403414701261,0.138976908204343,-8.66355542492188,4.57274066667767e-18,4.17886141379793e-15
"AT3G56360",1552.33027230192,-1.25717668356579,0.146865516872657,-8.56005351246511,1.12815144996138e-17,9.86151517455376e-15
"AT3G59820",732.583435857013,1.73508803366553,0.203931195857897,8.50820310431844,1.76649559533494e-17,1.47980808100871e-14
"AT3G05880",1309.65738335895,1.30749008296202,0.155404889628771,8.4134423703484,3.98149929692409e-17,3.20192173458635e-14
"AT2G05070",58456.1679953564,-1.26525089636273,0.150673599734609,-8.39729653098687,4.56875259274404e-17,3.53287580296611e-14
"AT2G46790",521.648501887618,-2.55478151132423,0.30454727275064,-8.38878473036288,4.91193182291565e-17,3.65756997406367e-14
"AT3G08940",46923.3201580484,-1.17628917097312,0.141987071595468,-8.28448081755262,1.18625432294379e-16,8.51772970099464e-14
"AT1G44446",4829.14248970731,-1.35437628243275,0.164147620506864,-8.25096506577816,1.57120480352787e-16,1.08927836465268e-13
"AT1G72330",323.87676687133,2.03299821741557,0.247443553582077,8.21600800661482,2.1038941960071e-16,1.40995976035743e-13
"AT1G17960",105.663047483253,3.42500369228805,0.418347316606423,8.18698616276832,2.67848953990329e-16,1.65410788564072e-13
"AT3G47470",133839.547146484,-1.03790251072405,0.126684694709851,-8.1928011359319,2.55215665036901e-16,1.65410788564072e-13
"AT5G08610",2169.96605990483,1.20184604066904,0.146828825447426,8.18535486480059,2.71502413460054e-16,1.65410788564072e-13
"AT5G35970",7098.43308467269,-1.43039564982955,0.175697657267049,-8.14123348073701,3.91271033679505e-16,2.31367768591955e-13
"AT1G03130",21908.0578618544,-1.02646566242692,0.126210747155781,-8.13294973335323,4.18968391595205e-16,2.4066741465776e-13
"AT3G07650",296.061460751218,2.78704213707494,0.342920181894263,8.12737856862067,4.38673714740435e-16,2.44987084301568e-13
"AT1G70850",113.382785919213,3.32283706877926,0.413039136514357,8.0448479938747,8.63525400348194e-16,4.56873109842117e-13
"AT3G18000",1855.73235594498,1.27206503986899,0.15807212680512,8.04737094122398,8.45914976928435e-16,4.56873109842117e-13
"AT5G54270",117222.108216021,-1.03317011822717,0.128717235286902,-8.02666492893752,1.001581534308e-15,5.16328121724677e-13
"AT5G21020",2730.84756201968,1.10232488219501,0.137904732020358,7.99337967628467,1.31289011422731e-15,6.59891393663503e-13
"AT1G36370",1993.31923384366,-1.60699195273653,0.201376395598245,-7.98004129512054,1.46284341685496e-15,7.17328460874851e-13
"AT5G38420",89125.0640346342,-1.25791716378857,0.158406613644308,-7.94106467431434,2.00453115328761e-15,9.59549972305889e-13
"AT1G73870",578.781425559357,-2.14656634753877,0.271794566104405,-7.89775299155248,2.83976202629959e-15,1.32775384973845e-12
"AT4G04610",2190.91317258557,-1.83622381527343,0.233098959845958,-7.87744319617252,3.34148009341931e-15,1.52682857450444e-12
"AT4G21990",4982.75309750566,-1.48415432000359,0.188494515401021,-7.87372681293171,3.44230158336481e-15,1.53794385185665e-12
"AT5G44190",2377.41419337368,-1.52503442662669,0.196250953737514,-7.7708382944545,7.79683832348982e-15,3.40772683682093e-12
"AT3G54090",1423.61655321645,1.21368758683927,0.157909703897986,7.68595948747613,1.51854559022499e-14,6.49582108329221e-12
"AT5G24120",681.466828841561,-2.15367257290308,0.280555331551512,-7.6764628246163,1.63541485799847e-14,6.85000327501235e-12
"AT1G04770",842.206077579378,-1.45787959636603,0.190272573942428,-7.66205852035799,1.82976223752561e-14,7.3574739570905e-12
"AT4G10340",92277.9423063667,-0.936217808073917,0.122175270167932,-7.66290761450392,1.81770104468539e-14,7.3574739570905e-12
"AT1G15830",347.550574432615,-1.90658871064964,0.249527427528897,-7.64079816608075,2.15879247023742e-14,8.3904707452138e-12
"AT5G01820",1680.46759357427,-1.70872808316886,0.223651883233294,-7.64012383202904,2.17012921537487e-14,8.3904707452138e-12
"AT5G02020",473.140078693934,-2.5516685954621,0.335134975328741,-7.61385347190074,2.66042394270646e-14,1.0092042144927e-11
"AT3G53630",715.676067286264,1.33697928794009,0.17614677236162,7.59014354912697,3.19551275904248e-14,1.18973674112128e-11
"AT3G10420",2166.52530603895,-1.50165586120377,0.198052224504771,-7.5821206500389,3.39951915167829e-14,1.24267877353622e-11
"AT1G01240",341.204429807822,-1.84462151683585,0.243948246726766,-7.56152807649372,3.98361405423915e-14,1.38087173380135e-11
"AT1G15820",68511.2235922344,-0.930915827107385,0.123049197440612,-7.56539535787449,3.86686694040908e-14,1.38087173380135e-11
"AT1G67120",893.643448280927,1.35735866375273,0.179502449395789,7.56178352062406,3.97579683157911e-14,1.38087173380135e-11
"AT2G40100",860.21185949497,-1.33180497704583,0.176306174711318,-7.55393269252488,4.22308479692763e-14,1.43906982783441e-11
"AT3G07350",744.348528395709,-1.49677452024881,0.199076802590211,-7.51857826112387,5.53750950406661e-14,1.85552714298765e-11
"AT2G20570",2509.98684466393,-1.39194897551268,0.185417573012535,-7.50710384618492,6.04497742751016e-14,1.99236510131298e-11
"AT5G50950",3615.40371663242,-2.11962774038383,0.2831716544584,-7.48531043630718,7.13782149401341e-14,2.31461130866354e-11
"AT5G26860",903.053017812916,1.2416478857801,0.166122090381666,7.47430930424371,7.76104010091304e-14,2.47675732109296e-11
"AT4G11570",2482.5323473708,-1.19416984806494,0.159998879295066,-7.46361382858619,8.41810870830872e-14,2.64446993094605e-11
"AT1G62180",3439.38568235644,-1.18053558598758,0.158577078685605,-7.44455375122726,9.72726623977158e-14,3.00871827308627e-11
"AT1G13080",490.795210108716,-1.45712365197988,0.197184911790254,-7.38963056935017,1.47237320397062e-13,4.42137421988258e-11
"AT2G46820",38295.7674507128,-1.04667501994352,0.141642868124433,-7.3895356243706,1.47342488302478e-13,4.42137421988258e-11
"AT1G69200",1156.76079894347,1.19397132419045,0.161641978488797,7.38651763207168,1.50724170162665e-13,4.45633741341233e-11
"AT3G12320",476.562774410297,-2.56925746639915,0.348454333896358,-7.37329749258717,1.66458463631111e-13,4.85021363957028e-11
"AT5G43800",150.051389663118,-10.8448435444735,1.47138019406395,-7.37052434729329,1.69958221241856e-13,4.88144291152502e-11
"AT5G64040",35811.246160175,-0.886311231952354,0.121688191282379,-7.28346130065864,3.25362288058265e-13,9.21325183297382e-11
"AT5G45140",728.441759995154,1.24909314630727,0.172211141385937,7.25326559161444,4.0684119431455e-13,1.12048523447863e-10
"AT5G58770",296.279650723454,-2.56632027444203,0.353744182166094,-7.25473492942724,4.02449187091177e-13,1.12048523447863e-10
"AT3G56200",407.133157907634,-1.58492682789453,0.218707222056035,-7.2467969415681,4.26742999004717e-13,1.15941459391755e-10
"AT1G61520",102327.903176898,-0.893026612840929,0.123644749435833,-7.22251949165359,5.10330868259957e-13,1.36802694751552e-10
"AT1G62290",544.978095808351,-1.37149284032674,0.190136019535567,-7.21321948190983,5.46442296354995e-13,1.42678212574249e-10
"AT1G75100",996.011359333045,-1.19922595291849,0.166252745227851,-7.2132700802921,5.46239196198835e-13,1.42678212574249e-10
"AT1G52870",3884.14088545038,-1.25368540100231,0.174245390744148,-7.19494154564557,6.24875300304817e-13,1.61065614264466e-10
"AT1G30380",40461.463113348,-0.884702303942576,0.123030003387264,-7.19094757038882,6.43431887286212e-13,1.63749342960624e-10
"AT2G24120",1576.89801570214,1.25988530142636,0.176089062621406,7.15481860525964,8.37836370203348e-13,2.10558752786729e-10
"AT2G34430",80213.5459396044,-0.872216694715927,0.122147774395605,-7.14066792482884,9.28784875068072e-13,2.30533579175847e-10
"AT1G57590",122.222491055258,-2.3007412324212,0.322348264020155,-7.13743950014677,9.50854490855524e-13,2.33133287056711e-10
"AT2G37040",2049.8626364889,-0.992261340774529,0.139196766284417,-7.12847982938819,1.01483466681585e-12,2.45822300919671e-10
"AT4G20820",264.726088396346,-1.89562350592329,0.267125256378966,-7.0963844138871,1.28062956188601e-12,3.06512587401407e-10
"AT4G33666",965.843552511012,-1.96957992962266,0.27802801962382,-7.08410588359965,1.39944880247168e-12,3.31010802043449e-10
"AT5G48850",231.214668342658,-3.271106025336,0.462013069257426,-7.08011578675363,1.44034065889509e-12,3.36721499384719e-10
"AT1G29395",1152.60012578809,-1.79466375107913,0.25581844526885,-7.01538057270675,2.29323878421792e-12,5.29949031686221e-10
"AT5G60540",730.812523840892,1.32873314189139,0.190785401920205,6.96454303378581,3.29471420248259e-12,7.52729875464915e-10
"AT4G15560",12113.7300161919,-0.941350068894128,0.135493397795987,-6.9475714994728,3.71627733058828e-12,8.39502873387386e-10
"AT3G03870",384.863974938515,-1.49294382623199,0.215293223098073,-6.93446734991704,4.07754563396323e-12,9.10878388564787e-10
"AT1G75280",2013.10364827131,-1.04303808826005,0.150602857046584,-6.9257523310957,4.33664592691952e-12,9.54141992964431e-10
"AT2G30570",51855.2356069418,-0.843271205953318,0.121775653223165,-6.92479312271021,4.36613097999143e-12,9.54141992964431e-10
"AT4G01037",1207.5142290873,1.103642286028,0.159545788279046,6.91740156811737,4.6000278695317e-12,9.94446885128332e-10
"AT5G64940",5925.73248491982,-1.34290467019078,0.194195410114951,-6.91522353384086,4.67126200478992e-12,9.99103431981928e-10
"AT5G03230",701.486102870253,-1.97901728675313,0.286555511180935,-6.906226575777,4.9771483448933e-12,1.05332176288505e-09
"AT3G59400",3884.55395014834,-1.14764866499764,0.166235457217662,-6.90375377314933,5.06460551385244e-12,1.06066556100004e-09
"AT5G22300",362.717919433725,-1.4657532860764,0.212763014672331,-6.8891357284712,5.61323640615043e-12,1.16344451490365e-09
"AT3G22142",1039.00617143076,1.556586268477,0.226001607386411,6.88750087434376,5.67810243231904e-12,1.16488009593647e-09
"AT1G29920",122243.542054374,-0.966169161356502,0.141066906779276,-6.8490135880575,7.43609345076947e-12,1.51012786694667e-09
"AT1G08380",57196.8293396081,-0.83122037610565,0.121618104907724,-6.83467627403276,8.21904168088183e-12,1.65243832994129e-09
"AT5G12470",2550.45842030507,-0.942599907046977,0.137975603935537,-6.83164182769128,8.39482374744589e-12,1.67106862814257e-09
"AT5G52570",249.827311927031,-2.48345391671661,0.363613445623706,-6.82992872405129,8.49568323375876e-12,1.67456579818353e-09
"AT1G17990",484.348078053387,-1.54272545305008,0.226026446910815,-6.82542009634302,8.76683869224885e-12,1.71123584376372e-09
"AT1G68600",340.877775773066,-1.82100510771069,0.269990486642347,-6.74470100912463,1.53342464328049e-11,2.96437523588022e-09
"AT2G37690",503.411571377286,1.33067738144577,0.197960415693375,6.72193669014557,1.79324872629054e-11,3.43364434686393e-09
"AT5G35630",39772.6810401484,-0.841380257146216,0.12524873814886,-6.71767452176821,1.84647554822836e-11,3.50220668840861e-09
"AT5G23660",428.561579523028,1.48301639241393,0.221134659643529,6.70639507531097,1.99491168071209e-11,3.71868287405425e-09
"AT5G64840",7325.07415238641,-1.02780715075057,0.153262264980583,-6.70619836448839,1.99760134492842e-11,3.71868287405425e-09
"AT2G33210",1201.75532847,1.04967801651253,0.156932817454091,6.68870943338283,2.25147261283271e-11,4.1528309065139e-09
"AT4G05180",33561.9216479617,-0.813308314828958,0.121839807621775,-6.67522651836168,2.46850586528941e-11,4.51175549287669e-09
"AT2G37170",1214.3752276444,-1.56713320684888,0.236675351499471,-6.62144662264243,3.55700466728149e-11,6.38514096747272e-09
"AT4G31210",1259.015902153,1.10055848952317,0.166187630914671,6.62238509247567,3.53448797612462e-11,6.38514096747272e-09
"AT3G54890",127145.89712586,-0.804533852630766,0.121667791031672,-6.61254589903198,3.77765929659577e-11,6.72122479274849e-09
"AT1G74930",2138.71997437974,-1.34028572375836,0.202830070731806,-6.60792415504585,3.89746259684691e-11,6.87355136049185e-09
"AT4G15530",1543.17687353631,-1.62519656245907,0.24612262161555,-6.60319864867064,4.0237977530331e-11,7.03464815867221e-09
"AT1G58290",12114.9259446484,-1.20804832566604,0.18323703105288,-6.59281761292788,4.31556624644543e-11,7.41576575938336e-09
"AT3G29240",2339.56521300462,-1.00963249980412,0.153139820715041,-6.59288025211171,4.31374512608038e-11,7.41576575938336e-09
"AT2G31060",909.9065165284,1.07770556788857,0.163725714364979,6.58238427646217,4.62963124346517e-11,7.88802848727688e-09
"AT4G04830",688.541628410673,-1.58884662824685,0.241798514229201,-6.5709528171078,4.99943011982249e-11,8.44651618143119e-09
"AT3G54500",4411.54392096283,-1.19223612484313,0.182194197828249,-6.54376560315616,5.99887963306166e-11,1.00506229185587e-08
"AT2G42750",1997.5002702899,-1.03114248806284,0.157967454563718,-6.52756285090941,6.68484600459256e-11,1.11073412332507e-08
"AT5G17230",4586.44534286786,-1.02622846494247,0.157280162020183,-6.52484364055255,6.80725093004791e-11,1.12180147498863e-08
"AT4G17840",1443.08554715908,-1.01943333087873,0.156853226256854,-6.49928187775602,8.07043214833453e-11,1.31915478327045e-08
"AT5G48250",354.146177644498,2.44821584391077,0.377225514871398,6.49005898963489,8.58027718622757e-11,1.39118123249278e-08
"AT1G17665",83.2457975865888,3.39992996046468,0.524069970692841,6.48754966053452,8.7243588281521e-11,1.39347645124678e-08
"AT2G36895",993.132498385375,-1.19566262497489,0.184305378085803,-6.48739953979124,8.73305311400617e-11,1.39347645124678e-08
"AT5G57345",3387.50924403157,-1.31505277638777,0.202784231924168,-6.48498536552656,8.87403983192635e-11,1.40482339229039e-08
