"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"query_1",TRUE,1.19196395703403e-59,359,345,75,0.217391304347826,0.20891364902507,"GO:0009451","GO:BP","RNA modification",21844,3341
"query_1",TRUE,7.13238705595558e-19,3735,345,133,0.385507246376812,0.0356091030789826,"GO:0016070","GO:BP","RNA metabolic process",21844,4854
"query_1",TRUE,2.17928622136428e-15,4232,345,136,0.394202898550725,0.0321361058601134,"GO:0090304","GO:BP","nucleic acid metabolic process",21844,16982
"query_1",TRUE,2.34523132290119e-15,2410,345,96,0.278260869565217,0.0398340248962656,"GO:0043412","GO:BP","macromolecule modification",21844,10008
"query_1",TRUE,7.80817663113521e-14,4611,345,140,0.405797101449275,0.0303621774018651,"GO:0006139","GO:BP","nucleobase-containing compound metabolic process",21844,1882
"query_1",TRUE,3.60969050521265e-07,53,345,11,0.0318840579710145,0.207547169811321,"GO:0000959","GO:BP","mitochondrial RNA metabolic process",21844,255
"query_1",TRUE,0.00056505957453202,151,345,13,0.0376811594202899,0.0860927152317881,"GO:0048511","GO:BP","rhythmic process",21844,11947
"query_1",TRUE,0.000646095988828234,8927,345,185,0.536231884057971,0.0207236473619357,"GO:0043170","GO:BP","macromolecule metabolic process",21844,9900
"query_1",TRUE,0.00139292689903086,12488,345,239,0.692753623188406,0.0191383728379244,"GO:0008152","GO:BP","metabolic process",21844,2985
"query_1",TRUE,0.00181521826941909,142,345,12,0.0347826086956522,0.0845070422535211,"GO:0007623","GO:BP","circadian rhythm",21844,2940
"query_1",TRUE,0.00256975200356638,3,345,3,0.00869565217391304,1,"GO:0080003","GO:BP","thalianol metabolic process",21844,16587
"query_1",TRUE,0.00341718989159888,29,345,6,0.0173913043478261,0.206896551724138,"GO:1900864","GO:BP","mitochondrial RNA modification",21844,19705
"query_1",TRUE,0.0108194702530938,142,345,11,0.0318840579710145,0.0774647887323944,"GO:0006457","GO:BP","protein folding",21844,2095
"query_1",TRUE,0.0132591830084003,22,345,5,0.0144927536231884,0.227272727272727,"GO:0016554","GO:BP","cytidine to uridine editing",21844,4993
"query_1",TRUE,0.0176187093943487,38,345,6,0.0173913043478261,0.157894736842105,"GO:0140053","GO:BP","mitochondrial gene expression",21844,18383
"query_1",TRUE,0.0257295619132338,25,345,5,0.0144927536231884,0.2,"GO:0080156","GO:BP","mitochondrial mRNA modification",21844,16650
"query_1",TRUE,0.0323583760729229,10745,345,206,0.597101449275362,0.0191717077710563,"GO:0044238","GO:BP","primary metabolic process",21844,10236
"query_1",TRUE,0.0327296831520732,160,345,11,0.0318840579710145,0.06875,"GO:0009664","GO:BP","plant-type cell wall organization",21844,3422
"query_1",TRUE,0.0457792530970522,28,345,5,0.0144927536231884,0.178571428571429,"GO:0016553","GO:BP","base conversion or substitution editing",21844,4992
"query_1",TRUE,1.04212116661208e-25,1720,339,98,0.289085545722714,0.0569767441860465,"GO:0005739","GO:CC","mitochondrion",20029,305
"query_1",TRUE,2.63595249649896e-09,9524,339,222,0.654867256637168,0.0233095338093238,"GO:0005737","GO:CC","cytoplasm",20029,304
"query_1",TRUE,5.79645064391626e-05,13505,339,270,0.79646017699115,0.0199925953350611,"GO:0005622","GO:CC","intracellular anatomical structure",20029,232
"query_1",TRUE,0.000194797437476089,11808,339,242,0.713864306784661,0.0204945799457995,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",20029,1845
"query_1",TRUE,0.000223186852011655,11823,339,242,0.713864306784661,0.0204685781950436,"GO:0043227","GO:CC","membrane-bounded organelle",20029,1841
"query_1",TRUE,0.000579550640937875,12312,339,248,0.731563421828909,0.0201429499675114,"GO:0043229","GO:CC","intracellular organelle",20029,1843
"query_1",TRUE,0.000654929765381988,12326,339,248,0.731563421828909,0.0201200713938017,"GO:0043226","GO:CC","organelle",20029,1840
"query_1",TRUE,0.0144662476462216,62,339,7,0.0206489675516224,0.112903225806452,"GO:0009295","GO:CC","nucleoid",20029,505
