"TAIR","SYMBOL","GENENAME","GO_terms","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G05750","CLB19","Encodes a pentatricopeptide repeat protein required for editing of rpoA and clpP chloroplast transcripts.","GO:0003723; GO:0005515; GO:0009451; GO:0009507; GO:0043231",127.726743958453,1.15847337874476,0.318641945861657,3.63565875048895,0.000277271179223223,0.00490284701695946
"AT1G05750","PDE247","Encodes a pentatricopeptide repeat protein required for editing of rpoA and clpP chloroplast transcripts.","GO:0003723; GO:0005515; GO:0009451; GO:0009507; GO:0043231",127.726743958453,1.15847337874476,0.318641945861657,3.63565875048895,0.000277271179223223,0.00490284701695946
"AT1G08070","EMB3102","Encodes a chloroplast RNA editing factor.","GO:0003723; GO:0005515; GO:0005739; GO:0008270; GO:0009451; GO:0009507; GO:0031425",47.1394932815136,2.36723097571559,0.572654334902065,4.13378687881658,3.56834391422855e-05,0.000917411181528964
"AT1G08070","OTP82","Encodes a chloroplast RNA editing factor.","GO:0003723; GO:0005515; GO:0005739; GO:0008270; GO:0009451; GO:0009507; GO:0031425",47.1394932815136,2.36723097571559,0.572654334902065,4.13378687881658,3.56834391422855e-05,0.000917411181528964
"AT1G15510","ATECB2","Encodes a pentatricopeptide repeat protein required for chloroplast transcript accD RNA editing and early chloroplast biogenesis.","GO:0003723; GO:0005739; GO:0009416; GO:0009451; GO:0009507; GO:0009658; GO:0043231",276.055807148185,1.65452330095871,0.273761486209259,6.0436671493448,1.50650146482861e-09,1.69207887990945e-07
"AT1G15510","ECB2","Encodes a pentatricopeptide repeat protein required for chloroplast transcript accD RNA editing and early chloroplast biogenesis.","GO:0003723; GO:0005739; GO:0009416; GO:0009451; GO:0009507; GO:0009658; GO:0043231",276.055807148185,1.65452330095871,0.273761486209259,6.0436671493448,1.50650146482861e-09,1.69207887990945e-07
"AT1G15510","VAC1","Encodes a pentatricopeptide repeat protein required for chloroplast transcript accD RNA editing and early chloroplast biogenesis.","GO:0003723; GO:0005739; GO:0009416; GO:0009451; GO:0009507; GO:0009658; GO:0043231",276.055807148185,1.65452330095871,0.273761486209259,6.0436671493448,1.50650146482861e-09,1.69207887990945e-07
"AT1G21650","ANU1","Encodes a component of the thylakoid-localized Sec system involved in the translocation of cytoplasmic proteins into plastid.  Loss-of-function mutations result in arrest at the globular stage and embryo lethality.","GO:0005524; GO:0005634; GO:0006605; GO:0006886; GO:0009507; GO:0009536; GO:0009793; GO:0009941; GO:0016020; GO:0016464; GO:0017038",431.99707232332,1.05177152667053,0.232282243565019,4.52798935694852,5.95475801717103e-06,0.000213189289438298
"AT1G21650","SECA2","Encodes a component of the thylakoid-localized Sec system involved in the translocation of cytoplasmic proteins into plastid.  Loss-of-function mutations result in arrest at the globular stage and embryo lethality.","GO:0005524; GO:0005634; GO:0006605; GO:0006886; GO:0009507; GO:0009536; GO:0009793; GO:0009941; GO:0016020; GO:0016464; GO:0017038",431.99707232332,1.05177152667053,0.232282243565019,4.52798935694852,5.95475801717103e-06,0.000213189289438298
"AT1G69200","FLN2","Encodes a fructokinase-like protein (AT3G54090/FLN1, AT1G69200/FLN2), a member of the pfkB-carbohydrate kinase family.  FLN1 and FLN2 are potential plastidial thioredoxin z (TRX z) targets.","GO:0000427; GO:0005515; GO:0006355; GO:0009658; GO:0009662; GO:0042644; GO:0042793",1156.76079894347,1.19397132419045,0.161641978488797,7.38651763207168,1.50724170162665e-13,4.45633741341233e-11
"AT2G04530","CPZ","Encodes a protein with RNAse Z activity suggesting a role in tRNA processing. Protein contains a signal sequence for import into the chloroplast.","GO:0005634; GO:0008033; GO:0009507; GO:0042780; GO:0042781",538.521695628053,1.15573621574401,0.196962188859904,5.86780753419666,4.41595425216731e-09,4.33086635316213e-07
"AT2G04530","TRZ2","Encodes a protein with RNAse Z activity suggesting a role in tRNA processing. Protein contains a signal sequence for import into the chloroplast.","GO:0005634; GO:0008033; GO:0009507; GO:0042780; GO:0042781",538.521695628053,1.15573621574401,0.196962188859904,5.86780753419666,4.41595425216731e-09,4.33086635316213e-07
"AT2G29760","OTP81","Encodes a chloroplast RNA editing factor.","GO:0003729; GO:0008270; GO:0009451; GO:0009507; GO:0031425",164.767943978353,1.53080428409601,0.275515213129131,5.55615157039819,2.75787415232615e-08,2.15747314523413e-06
"AT2G29760","QED1","Encodes a chloroplast RNA editing factor.","GO:0003729; GO:0008270; GO:0009451; GO:0009507; GO:0031425",164.767943978353,1.53080428409601,0.275515213129131,5.55615157039819,2.75787415232615e-08,2.15747314523413e-06
"AT3G53460","CP29A","Encodes a nuclear gene with a consensus RNA-binding domain that is localized to the chloroplast.","GO:0003723; GO:0003729; GO:0005829; GO:0006396; GO:0006397; GO:0008266; GO:0008380; GO:0009409; GO:0009507; GO:0009534; GO:0009570; GO:0009579; GO:0009631; GO:0043489; GO:0048255; GO:1901259",22077.2342365423,1.1947618669496,0.250512582170879,4.76926889897543,1.84895719699736e-06,7.80951353899828e-05
"AT3G54090","FLN1","Encodes a fructokinase-like protein (AT3G54090/FLN1, AT1G69200/FLN2), a member of the pfkB-carbohydrate kinase family.  FLN1 and FLN2 are potential plastidial thioredoxin z (TRX z) targets.","GO:0005515; GO:0005634; GO:0005737; GO:0009658; GO:0042644; GO:0042793",1423.61655321645,1.21368758683927,0.157909703897986,7.68595948747613,1.51854559022499e-14,6.49582108329221e-12
"AT3G57430","OTP84","Encodes a chloroplast RNA editing factor.","GO:0003723; GO:0003729; GO:0009451; GO:0009507; GO:0031425; GO:0043231",253.755093003296,1.20171385812703,0.256562884486986,4.68389595997072,2.81472918204623e-06,0.000112282004375078
"AT4G25990","CIL","chloroplast import apparatus CIA2-like. CIA2 is a transcription factor which upregulates chloroplast translocon genes","GO:0003674; GO:0005634; GO:0006355",327.710217732833,1.3894296864862,0.311866652729458,4.4552044097242,8.38133002037785e-06,0.00028131325552537
