"TAIR","SYMBOL","GENENAME","GO_terms","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","category","evidence"
"AT1G05750","CLB19","Encodes a pentatricopeptide repeat protein required for editing of rpoA and clpP chloroplast transcripts.","GO:0003723; GO:0005515; GO:0009451; GO:0009507; GO:0043231",127.726743958453,1.15847337874476,0.318641945861657,3.63565875048895,0.000277271179223223,0.00490284701695946,"Up","Chloroplast RNA processing",NA
"AT1G06430","FTSH8","encodes a FtsH protease that is localized to the chloroplast","GO:0004176; GO:0005576; GO:0006508; GO:0009507; GO:0009534; GO:0009535; GO:0009579; GO:0009941; GO:0010304",2729.9489715716,-1.02519036179373,0.189872868619087,-5.3993515200448,6.68822116093186e-08,4.65282652043374e-06,"Down","Chloroplast maintenance",NA
"AT1G08070","EMB3102","Encodes a chloroplast RNA editing factor.","GO:0003723; GO:0005515; GO:0005739; GO:0008270; GO:0009451; GO:0009507; GO:0031425",47.1394932815136,2.36723097571559,0.572654334902065,4.13378687881658,3.56834391422855e-05,0.000917411181528964,"Up","Chloroplast RNA processing",NA
"AT1G15510","ATECB2","Encodes a pentatricopeptide repeat protein required for chloroplast transcript accD RNA editing and early chloroplast biogenesis.","GO:0003723; GO:0005739; GO:0009416; GO:0009451; GO:0009507; GO:0009658; GO:0043231",276.055807148185,1.65452330095871,0.273761486209259,6.0436671493448,1.50650146482861e-09,1.69207887990945e-07,"Up","Chloroplast RNA processing",NA
"AT1G19670","ATCLH1","Chlorophyllase is the first enzyme involved in chlorophyll degradation. It catalyzes the hydrolysis of the ester bond to yield chlorophyllide and phytol. AtCLH1 lacks a typical signal sequence for the chloroplast.  Its expression is induced rapidly by methyljasmonate, a known promoter of senescence and chlorophyll degradation.","GO:0000325; GO:0005634; GO:0009507; GO:0015996; GO:0042742; GO:0047746; GO:0050832",1158.21330992952,-1.05632978943938,0.209856260346938,-5.03358721675986,4.81385649189321e-07,2.5138333706367e-05,"Down","Chloroplast maintenance",NA
"AT1G21650","ANU1","Encodes a component of the thylakoid-localized Sec system involved in the translocation of cytoplasmic proteins into plastid.  Loss-of-function mutations result in arrest at the globular stage and embryo lethality.","GO:0005524; GO:0005634; GO:0006605; GO:0006886; GO:0009507; GO:0009536; GO:0009793; GO:0009941; GO:0016020; GO:0016464; GO:0017038",431.99707232332,1.05177152667053,0.232282243565019,4.52798935694852,5.95475801717103e-06,0.000213189289438298,"Up","Photosynthetic machinery",NA
"AT1G29395","COR413-TM1","Integral membrane protein in the inner  envelope of chloroplasts. Provide  freezing tolerance. Expression is induced by short-term cold-treatment, water deprivation, and abscisic acid treatment.","GO:0003674; GO:0009507; GO:0009535; GO:0009631; GO:0009706; GO:0009737; GO:0009941; GO:0042631; GO:0070417",1152.60012578809,-1.79466375107913,0.25581844526885,-7.01538057270675,2.29323878421792e-12,5.29949031686221e-10,"Down","Chloroplast maintenance",NA
"AT1G44446","ATCAO","Encodes chlorophyllide <i>a</i> oxygenase which converts chlorophyllide <i>a</i> to chlorophyllide <i>b</i> by catalyzing two successive hydroxylations at the 7-methyl group of chlorophyllide <i>a</i> .  Mutants are deficient in pigments that associate with thylakoid membrane proteins, lacking chlorophyll <i>b</i> and light-harvesting proteins of photosystem II. The protein was shown through cross-linking experiments to interact with Toc75, Toc34, Tic40, Tic20 and Tic22.","GO:0005506; GO:0005737; GO:0009507; GO:0009706; GO:0010277; GO:0015995; GO:0042651",4829.14248970731,-1.35437628243275,0.164147620506864,-8.25096506577816,1.57120480352787e-16,1.08927836465268e-13,"Down","Photosynthetic machinery",NA
"AT1G69200","FLN2","Encodes a fructokinase-like protein (AT3G54090/FLN1, AT1G69200/FLN2), a member of the pfkB-carbohydrate kinase family.  FLN1 and FLN2 are potential plastidial thioredoxin z (TRX z) targets.","GO:0000427; GO:0005515; GO:0006355; GO:0009658; GO:0009662; GO:0042644; GO:0042793",1156.76079894347,1.19397132419045,0.161641978488797,7.38651763207168,1.50724170162665e-13,4.45633741341233e-11,"Up","Chloroplast maintenance",NA
"AT1G75100","AUXILIN-LIKE6","Contains a J-domain at the C-terminus which is similar to the J-domain of auxilin, a clathrin-uncoating factor in cow, yeast and worm. Arabidopsis contains 6 other proteins similar to auxilin.  Expressed in leaves and stems, but not in roots. Localized in the cytoplasm. Required for the chloroplast accumulation response, but not for the avoidance response. No molecular function known.","GO:0005737; GO:0005739; GO:0007015; GO:0009507; GO:0009903; GO:0009904; GO:0030276; GO:0031982; GO:0043231; GO:0071483; GO:0072318; GO:0072583; GO:0080183",996.011359333045,-1.19922595291849,0.166252745227851,-7.2132700802921,5.46239196198835e-13,1.42678212574249e-10,"Down","Chloroplast maintenance",NA
"AT2G04530","CPZ","Encodes a protein with RNAse Z activity suggesting a role in tRNA processing. Protein contains a signal sequence for import into the chloroplast.","GO:0005634; GO:0008033; GO:0009507; GO:0042780; GO:0042781",538.521695628053,1.15573621574401,0.196962188859904,5.86780753419666,4.41595425216731e-09,4.33086635316213e-07,"Up","Chloroplast maintenance",NA
"AT2G20570","ATGLK1","Encodes GLK1, Golden2-like 1, one of a pair of partially redundant nuclear transcription factors that regulate chloroplast development in a cell-autonomous manner. GLK2, Golden2-like 2, is encoded by At5g44190. GLK1 and GLK2 regulate the expression of the photosynthetic apparatus.","GO:0000976; GO:0003700; GO:0005515; GO:0005634; GO:0007165; GO:0009658; GO:0009910; GO:0010380; GO:0045893; GO:1900056",2509.98684466393,-1.39194897551268,0.185417573012535,-7.50710384618492,6.04497742751016e-14,1.99236510131298e-11,"Down","Photosynthetic machinery",NA
"AT2G29760","OTP81","Encodes a chloroplast RNA editing factor.","GO:0003729; GO:0008270; GO:0009451; GO:0009507; GO:0031425",164.767943978353,1.53080428409601,0.275515213129131,5.55615157039819,2.75787415232615e-08,2.15747314523413e-06,"Up","Chloroplast RNA processing",NA
"AT2G46820","CURT1B","Encodes the P subunit of Photosystem I. About 25% of the TMP14 pool appeared to be phosphorylated, and this ratio is not affected by light. Contains seven phosphorylation sites on threonine residue and chloroplast targeting signal. Located in the proximity of PSI-L, -H and -O subunits.","GO:0003677; GO:0005515; GO:0005829; GO:0009507; GO:0009515; GO:0009534; GO:0009535; GO:0009579; GO:0009773; GO:0009941; GO:0030093; GO:0042644; GO:0090391; GO:0097753",38295.7674507128,-1.04667501994352,0.141642868124433,-7.3895356243706,1.47342488302478e-13,4.42137421988258e-11,"Down","Photosynthetic machinery",NA
"AT3G14440","ATNCED3","Encodes  9-<i>cis</i>-epoxycarotenoid dioxygenase, a key enzyme in the biosynthesis of abscisic acid. Regulated in response to drought and salinity. Expressed in roots, flowers and seeds. Localized to the chloroplast stroma and thylakoid membrane.","GO:0006970; GO:0009414; GO:0009507; GO:0009535; GO:0009570; GO:0009688; GO:0010436; GO:0016121; GO:0042538; GO:0045549",1686.0139309764,-3.00635528854835,0.722481795785105,-4.1611502270191,3.1664869323224e-05,0.000836560049597133,"Down","Photosynthetic machinery",NA
"AT3G23920","AtBAM1","Encodes a chloroplast beta-amylase. Is necessary for leaf starch breakdown in the absence of BAM3.","GO:0005576; GO:0005983; GO:0009414; GO:0016161",3922.76827630946,-1.86461857814944,0.313584199060392,-5.94614965848562,2.74523173383517e-09,2.85973492273347e-07,"Down","Chloroplast maintenance",NA
"AT3G45140","ATLOX2","Chloroplast lipoxygenase required for wound-induced jasmonic acid accumulation in Arabidopsis.Mutants are resistant to Staphylococcus aureus and accumulate salicylic acid upon infection.","GO:0003729; GO:0005515; GO:0005737; GO:0005829; GO:0009414; GO:0009507; GO:0009535; GO:0009570; GO:0009611; GO:0009617; GO:0009620; GO:0009695; GO:0009753; GO:0009941; GO:0010597; GO:0016165; GO:0016702; GO:0034440; GO:0051707; GO:0080027; GO:1901149",6543.64071954627,-1.6934156575502,0.269824306736228,-6.27599373100822,3.47408180612792e-10,4.59515886264486e-08,"Down","Chloroplast maintenance",NA
"AT3G53460","CP29A","Encodes a nuclear gene with a consensus RNA-binding domain that is localized to the chloroplast.","GO:0003723; GO:0003729; GO:0005829; GO:0006396; GO:0006397; GO:0008266; GO:0008380; GO:0009409; GO:0009507; GO:0009534; GO:0009570; GO:0009579; GO:0009631; GO:0043489; GO:0048255; GO:1901259",22077.2342365423,1.1947618669496,0.250512582170879,4.76926889897543,1.84895719699736e-06,7.80951353899828e-05,"Up","Chloroplast RNA processing",NA
"AT3G54090","FLN1","Encodes a fructokinase-like protein (AT3G54090/FLN1, AT1G69200/FLN2), a member of the pfkB-carbohydrate kinase family.  FLN1 and FLN2 are potential plastidial thioredoxin z (TRX z) targets.","GO:0005515; GO:0005634; GO:0005737; GO:0009658; GO:0042644; GO:0042793",1423.61655321645,1.21368758683927,0.157909703897986,7.68595948747613,1.51854559022499e-14,6.49582108329221e-12,"Up","Chloroplast maintenance",NA
"AT3G57430","OTP84","Encodes a chloroplast RNA editing factor.","GO:0003723; GO:0003729; GO:0009451; GO:0009507; GO:0031425; GO:0043231",253.755093003296,1.20171385812703,0.256562884486986,4.68389595997072,2.81472918204623e-06,0.000112282004375078,"Up","Chloroplast RNA processing",NA
"AT3G59400","GUN4","GUN, genomes uncoupled, is necessary for coupling the expression of some  nuclear genes to the functional state of the chloroplast. Binds to the magnesium chelatase complex and  promotes formation of the substrate,a tetrapyrrole signaling molecule. Porphyrin-binding protein  that enhances the activity of Mg-chelatase. Although required  for chlorophyll accumulation under normal  growth conditions, GUN4 is not essential  for chlorophyll synthesis.","GO:0008047; GO:0009507; GO:0010019; GO:0015995; GO:0019899; GO:0046906",3884.55395014834,-1.14764866499764,0.166235457217662,-6.90375377314933,5.06460551385244e-12,1.06066556100004e-09,"Down","Chloroplast maintenance",NA
"AT4G15530","PPDK","Encodes a dual-targeted protein believed to act as a pyruvate, orthophosphate dikinase. These enzymes are normally associated with C4 photosynthesis which does not occur in Arabidopsis. However, PPDK may play a role in remobilizing nitrogen during leaf senescence in Arabidopsis. The product of the long transcript (.1 gene model) was shown to be targeted to the chloroplast, whereas the shorter transcript (no targeting sequence) accumulates in the cytosol. The two proteins were also found to be expressed in slightly different tissues.","GO:0005829; GO:0006090; GO:0009507; GO:0009570; GO:0050242",1543.17687353631,-1.62519656245907,0.24612262161555,-6.60319864867064,4.0237977530331e-11,7.03464815867221e-09,"Down","Chloroplast RNA processing",NA
"AT4G19170","CCD4","chloroplast-targeted member of a family of  enzymes similar to nine-cis-epoxycarotenoid dioxygenase","GO:0005515; GO:0005829; GO:0009507; GO:0009570; GO:0010287; GO:0010436; GO:0016121; GO:1901811",3225.3992278571,-1.1304343981703,0.202488128914273,-5.58271936350842,2.36786662206266e-08,1.89665173054063e-06,"Down","Chloroplast maintenance",NA
"AT4G25990","CIL","chloroplast import apparatus CIA2-like. CIA2 is a transcription factor which upregulates chloroplast translocon genes","GO:0003674; GO:0005634; GO:0006355",327.710217732833,1.3894296864862,0.311866652729458,4.4552044097242,8.38133002037785e-06,0.00028131325552537,"Up","Chloroplast RNA processing",NA
"AT5G13270","RARE1","Encodes RARE1 (Required for accD RNA Editing 1), a trans-factor essential for C-to-U editing of the chloroplast accD transcript. RARE1 carries 15 PPR (pentatricopeptide repeat) motifs, an E/E+ and a DYW domain (C-terminal tripeptide).","GO:0003729; GO:0004126; GO:0005739; GO:0008270; GO:0009451",174.173459368085,1.05361035012237,0.273498963323967,3.85233763710594,0.000116995550734064,0.00240510792178769,"Up","Chloroplast RNA processing",NA
"AT5G15700",NA,"Nucleus  encoded plastid RNA polymerase. Localized in mitochondria and chloroplast.","GO:0003899; GO:0005739; GO:0006390; GO:0009507; GO:0009536; GO:0034062; GO:0034245; GO:0042651",315.154986696269,1.26975370427824,0.227313668359224,5.58591004862782,2.32479551116158e-08,1.87710898602022e-06,"Up","Chloroplast maintenance",NA
"AT5G24120","ATSIG5","Encodes a specialized sigma factor that functions in regulation of plastid genes  and is responsible for the light-dependent transcription at the psbD LRP. Activation of SIG5 is dependent upon blue light and mediated by cryptochromes.","GO:0000976; GO:0003899; GO:0005515; GO:0005739; GO:0006352; GO:0006355; GO:0009507; GO:0009553; GO:0009637; GO:0009658; GO:0010114; GO:0010207; GO:0010218; GO:0016987; GO:0045893; GO:0071472; GO:0071483; GO:1903865; GO:2001141",681.466828841561,-2.15367257290308,0.280555331551512,-7.6764628246163,1.63541485799847e-14,6.85000327501235e-12,"Down","Chloroplast RNA processing",NA
"AT5G26570","ATGWD3","chloroplastidic phosphoglucan, water dikinase (PWD) which is required for normal degradation of leaf starch in Arabidopsis. NMR analysis of the mutants, suggests that the gene is specifically involved in the phosphorylation of the glucosyl residues of starch at the C3 position.","GO:0005982; GO:0005983; GO:0009507; GO:0009536; GO:0009570; GO:0019200; GO:0046777; GO:0051752; GO:2001070",3842.63245258257,1.32433731968311,0.258694399262734,5.11931191188291,3.06652429031269e-07,1.70310692974411e-05,"Up","Chloroplast maintenance",NA
"AT5G43860","ATCLH2","Encodes a chlorophyllase, the first enzyme in chlorophyll degradation. It catalyzes the hydrolysis of the ester bond to chlorophyllide and phytol. AtCLH2 has a typical signal sequence for the chloroplast. Gene expression does not respond to methyljasmonate, a known promoter of senescence and chlorophyll degradation.","GO:0009507; GO:0015996; GO:0047746",63.3840398578685,1.79380135882108,0.448832426317683,3.99659483949902,6.4260144070913e-05,0.00147146947214773,"Up","Chloroplast maintenance",NA
"AT5G44190","ATGLK2","Encodes GLK2, Golden2-like 2, one of a pair of partially redundant nuclear transcription factors that regulate chloroplast development in a cell-autonomous manner.  GLK1, Golden2-like 1, is encoded by At2g20570. GLK1 and GLK2 regulate the expression of the photosynthetic apparatus.","GO:0000976; GO:0003700; GO:0005515; GO:0005634; GO:0009658; GO:0009910; GO:0010380; GO:0045893; GO:1900056",2377.41419337368,-1.52503442662669,0.196250953737514,-7.7708382944545,7.79683832348982e-15,3.40772683682093e-12,"Down","Photosynthetic machinery",NA
"AT5G61440","ACHT5","Encodes a member of the thioredoxin family protein.  Located in the chloroplast.","GO:0003674; GO:0009507; GO:0045454",541.594386378773,1.08269031472451,0.352216023979207,3.07393826803412,0.00211253140839617,0.0247076462860995,"Up","Chloroplast maintenance",NA
"AT5G51070","CLPD","ATP-dependent Clp protease regulatory subunit",NA,NA,3.564841,NA,NA,NA,8.478012e-144,"Up","Clp proteostasis","Strong induction of CLPD"
